t,pi_min,seed,strategy,n_labels,macro_f1,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5
0.0,0.02,0,random,18,0.5574061838994794,0.7556418345061878,0.6149312377210217,0.6214788732394366,0.7177522349936143,0.4950980392156863,0.13953488372093023
0.0,0.02,0,random,48,0.615876213325621,0.8948895335862531,0.7206020696142992,0.7401869158878505,0.8015364916773368,0.34838709677419355,0.1896551724137931
0.0,0.02,0,random,78,0.6387848926110239,0.9162605228178998,0.7616279069767442,0.6326129666011788,0.7487437185929648,0.5439560439560439,0.22950819672131148
0.0,0.02,0,random,108,0.6513334332541925,0.9174917491749175,0.7616731517509727,0.6103092783505155,0.7466340269277846,0.6173469387755102,0.2545454545454545
0.0,0.02,0,random,138,0.6512601908636715,0.9166666666666666,0.7490157480314961,0.6875675675675675,0.7938931297709924,0.49586776859504134,0.26455026455026454
0.0,0.02,0,random,168,0.6412105750071502,0.9105655414291978,0.7511002444987775,0.7108695652173913,0.798469387755102,0.4355179704016913,0.24074074074074073
0.0,0.02,0,random,198,0.6764893897893556,0.9076482256998016,0.7708029197080292,0.7305122494432071,0.8136482939632546,0.5956607495069034,0.24066390041493776
0.0,0.02,0,random,228,0.6764289551414553,0.9138986013986014,0.7579051383399209,0.75,0.8241469816272966,0.5843621399176955,0.22826086956521738
0.0,0.02,0,random,258,0.6906878188463851,0.9162280701754386,0.7669099756690998,0.765253360910031,0.8315508021390374,0.5898989898989899,0.2742857142857143
0.0,0.02,0,random,288,0.7015689158224631,0.9230769230769231,0.7800869985500242,0.7774358974358975,0.8429530201342282,0.5983606557377049,0.2875
0.0,0.02,0,random,318,0.7143176778764119,0.9211508895233912,0.8028776978417266,0.7832310838445807,0.8682795698924731,0.631578947368421,0.2787878787878788
0.0,0.02,0,random,348,0.7413016115594896,0.9230096237970253,0.8078770413064361,0.8251028806584362,0.8803191489361702,0.6851851851851852,0.3263157894736842
0.0,0.02,0,random,378,0.750108844559489,0.9222027972027972,0.8086538461538462,0.8272921108742004,0.8736842105263158,0.6820276497695853,0.3867924528301887
0.0,0.02,0,random,408,0.7504448846949366,0.9214316892186818,0.8092485549132948,0.8285410010649628,0.8736842105263158,0.6774193548387096,0.3923444976076555
0.0,0.02,0,random,438,0.7530799658136353,0.921701199563795,0.81665868836764,0.8315565031982942,0.8703703703703703,0.6839622641509434,0.3942307692307692
0.0,0.02,0,random,468,0.7543675049780103,0.9215256466462078,0.818785578747628,0.8331539289558665,0.8695652173913043,0.6886792452830188,0.3944954128440367
0.0,0.02,0,random,498,0.7648907344394326,0.9214567792891619,0.8182665424044734,0.8389923329682366,0.8826666666666667,0.6919431279620853,0.43601895734597157
0.0,0.02,0,random,528,0.7689909679807653,0.925104326817483,0.8292457195742712,0.832967032967033,0.8745046235138706,0.6921241050119332,0.46
0.0,0.02,0,random,558,0.7739749314146062,0.9243623570800352,0.8311090658076392,0.8568281938325991,0.8827404479578392,0.6904761904761905,0.4583333333333333
0.0,0.02,0,random,588,0.7606109096744822,0.9246696035242291,0.830101569713758,0.8298109010011123,0.8713910761154856,0.6666666666666666,0.441025641025641
0.0,0.02,0,random,618,0.760462914188051,0.9234502536951247,0.8302752293577982,0.8318385650224215,0.868766404199475,0.6651480637813212,0.44329896907216493
0.0,0.02,0,random,648,0.7677195307552896,0.9240982518256251,0.8276177411979881,0.820627802690583,0.8894806924101198,0.6935123042505593,0.45098039215686275
0.0,0.02,0,random,678,0.7622327184437904,0.92382424376242,0.8290676416819013,0.8237934904601572,0.8868175765645806,0.6877828054298643,0.4221105527638191
0.0,0.02,0,random,708,0.7677367472933186,0.9249116607773852,0.8291342189647274,0.8233970753655793,0.8921832884097035,0.7032967032967034,0.43349753694581283
0.0,0.02,0,random,738,0.7728540227857574,0.9254192409532216,0.8273018781493358,0.8275084554678692,0.8972972972972973,0.7108167770419426,0.44878048780487806
0.0,0.02,0,random,768,0.769115253859109,0.9237231925713022,0.8271773825809393,0.8257918552036199,0.8954423592493298,0.7168141592920354,0.42574257425742573
0.0,0.02,0,margin,18,0.5574061838994794,0.7556418345061878,0.6149312377210217,0.6214788732394366,0.7177522349936143,0.4950980392156863,0.13953488372093023
0.0,0.02,0,margin,48,0.5954695421628654,0.8403397952515792,0.663048394391678,0.6687306501547987,0.6465927099841522,0.5482233502538071,0.20588235294117646
0.0,0.02,0,margin,78,0.6125242410707453,0.8799499791579825,0.7284313725490196,0.6897321428571429,0.7072463768115942,0.45925925925925926,0.21052631578947367
0.0,0.02,0,margin,108,0.6784683411704218,0.8934707903780069,0.7789872219592996,0.7600411946446962,0.7811158798283262,0.6778846153846154,0.1793103448275862
0.0,0.02,0,margin,138,0.7158565032475082,0.9020618556701031,0.7788778877887789,0.7689030883919062,0.8142857142857143,0.6729857819905213,0.35802469135802467
0.0,0.02,0,margin,168,0.7257919990797567,0.9155052264808362,0.8082191780821918,0.7810140237324703,0.8410958904109589,0.6567164179104478,0.3522012578616352
0.0,0.02,0,margin,198,0.7405617723805559,0.9176981541802389,0.8189415041782729,0.8102893890675241,0.8664850136239782,0.6541176470588236,0.37583892617449666
0.0,0.02,0,margin,228,0.7549797063163227,0.9198000434688112,0.8243494423791822,0.8315565031982942,0.878581173260573,0.6946386946386947,0.38095238095238093
0.0,0.02,0,margin,258,0.7637495186414088,0.9218340611353711,0.8196872125114996,0.832271762208068,0.8906882591093117,0.6941747572815534,0.423841059602649
0.0,0.02,0,margin,288,0.7664828813578265,0.9229762164521056,0.8273645546372819,0.8288482238966631,0.8807588075880759,0.7002398081534772,0.43870967741935485
0.0,0.02,0,margin,318,0.7711487923248742,0.9228752457941883,0.8267644362969753,0.824295010845987,0.889795918367347,0.7070217917675545,0.45614035087719296
0.0,0.02,0,margin,348,0.7653506325135884,0.9224704336399474,0.8274296094459582,0.828039430449069,0.8909825033647375,0.68,0.4431818181818182
0.0,0.02,0,margin,378,0.7742313085409555,0.9225382932166302,0.825988187187642,0.8296943231441049,0.8916323731138546,0.7177033492822966,0.4578313253012048
0.0,0.02,0,margin,408,0.7691293194266752,0.9216245883644347,0.8265582655826558,0.8324205914567361,0.8873435326842837,0.6870588235294117,0.45977011494252873
0.0,0.02,0,margin,438,0.7765119978249371,0.9220978714066271,0.8276797829036635,0.8307692307692308,0.8953168044077136,0.7092198581560284,0.47398843930635837
0.0,0.02,0,margin,468,0.7829827021100312,0.9229079727652097,0.8312274368231047,0.8377192982456141,0.8940852819807428,0.7177033492822966,0.4942528735632184
0.0,0.02,0,margin,498,0.7817443902543241,0.9209773277569888,0.8276481149012568,0.8378672470076169,0.8958630527817404,0.728110599078341,0.48
0.0,0.02,0,margin,528,0.7810248589968802,0.9207680423747517,0.825368468066101,0.834061135371179,0.9005681818181818,0.728110599078341,0.4772727272727273
0.0,0.02,0,margin,558,0.7865618561248691,0.9207330536542283,0.8276169265033407,0.8446389496717724,0.9044943820224719,0.7395348837209302,0.4823529411764706
