t,pi_min,gap_b150,gap_b300,gap_b450
0.0,0.02,0.11596211893491688,0.04429978572960188,0.05885986127422429
0.06666666666666667,0.029777777777777778,0.07110887724038667,0.0975911074179856,0.11347701417006499
0.13333333333333333,0.03955555555555555,0.021235911049988388,0.018915341022563405,0.010067467057537827
0.2,0.04933333333333333,0.026999292571977234,0.08462291124105162,0.030486012507613645
0.26666666666666666,0.05911111111111111,0.051493153354523945,0.02711614363748256,0.033326856496736036
0.3333333333333333,0.06888888888888889,0.031515789374021365,0.0701044046308743,0.05347281244085382
0.4,0.07866666666666666,0.08367822659737581,0.08043965170381266,0.05291414566697371
0.4666666666666667,0.08844444444444444,0.07565497266197385,0.08055717964972602,0.06561993239850028
0.5333333333333333,0.09822222222222222,0.0916307064347304,0.04650420384006726,0.02973713370919675
0.6,0.10799999999999998,-0.07072238666498101,-0.040051492957462534,-0.030896159638183863
0.6666666666666666,0.11777777777777777,0.06127756545436791,0.038594937277316575,0.03949802490599661
0.7333333333333333,0.12755555555555556,0.10117486735596448,0.030985170346690905,0.020544595218340466
0.8,0.13733333333333336,0.006951574056177012,0.004165713335009436,0.00976251427170487
0.8666666666666667,0.14711111111111114,0.053138924917226604,0.014540169640706813,0.012279526035918132
0.9333333333333333,0.1568888888888889,0.05016580778309034,0.024334266079185318,0.031081456181535638
1.0,0.16666666666666669,0.027020330510056235,0.009366283860056135,0.004157614598171077
