t,pi_min,seed,rare_class,rand_f1_b150,margin_f1_b150,gap_b150,rand_f1_b300,margin_f1_b300,gap_b300,rand_f1_b450,margin_f1_b450,gap_b450
0.0,0.02,0,5,0.26455026455026454,0.35802469135802467,0.09347442680776014,0.2875,0.43870967741935485,0.15120967741935487,0.3942307692307692,0.47398843930635837,0.07975767007558915
0.0,0.02,1,5,0.28169014084507044,0.32926829268292684,0.04757815183785641,0.4784688995215311,0.42045454545454547,-0.05801435406698563,0.43564356435643564,0.4171779141104294,-0.018465650246006216
0.0,0.02,2,5,0.14388489208633093,0.5391304347826087,0.39524554269627776,0.4307692307692308,0.6060606060606061,0.17529137529137528,0.38823529411764707,0.6593406593406593,0.27110536522301226
0.0,0.02,3,5,0.26881720430107525,0.23728813559322035,-0.03152906870785491,0.37662337662337664,0.29931972789115646,-0.07730364873222018,0.4397163120567376,0.24193548387096775,-0.19778082818576986
0.0,0.02,4,5,0.38823529411764707,0.4632768361581921,0.07504154204054503,0.4528301886792453,0.48314606741573035,0.030315878736485058,0.4470588235294118,0.6067415730337079,0.15968274950429612
0.06666666666666667,0.029777777777777778,0,5,0.3070539419087137,0.49411764705882355,0.18706370515010984,0.5099601593625498,0.5855513307984791,0.0755911714359293,0.4892703862660944,0.5900383141762452,0.10076792791015077
0.06666666666666667,0.029777777777777778,1,5,0.2867383512544803,0.38095238095238093,0.09421402969790066,0.2403846153846154,0.37962962962962965,0.13924501424501426,0.29357798165137616,0.4588744588744589,0.16529647722308272
0.06666666666666667,0.029777777777777778,2,5,0.4891304347826087,0.505338078291815,0.016207643509206282,0.5360824742268041,0.6717557251908397,0.1356732509640356,0.5054151624548736,0.6422764227642277,0.13686126030935408
0.06666666666666667,0.029777777777777778,3,5,0.3961661341853035,0.47104247104247104,0.07487633685716755,0.40336134453781514,0.4679245283018868,0.06456318376407166,0.4622222222222222,0.48360655737704916,0.02138433515482696
0.06666666666666667,0.029777777777777778,4,5,0.42657342657342656,0.4097560975609756,-0.016817329012450977,0.4684014869888476,0.5412844036697247,0.07288291668087715,0.5207547169811321,0.6638297872340425,0.14307507025291044
0.13333333333333333,0.03955555555555555,0,5,0.43817787418655096,0.4401114206128134,0.0019335464262624225,0.5380952380952381,0.5314285714285715,-0.006666666666666599,0.5497076023391813,0.5636363636363636,0.013928761297182346
0.13333333333333333,0.03955555555555555,1,5,0.32388663967611336,0.5276872964169381,0.20380065674082476,0.48677248677248675,0.575,0.08822751322751321,0.5167173252279635,0.58125,0.0645326747720365
0.13333333333333333,0.03955555555555555,2,5,0.4519774011299435,0.4647058823529412,0.01272848122299769,0.4676923076923077,0.7024128686327078,0.2347205609404001,0.575,0.7008547008547008,0.12585470085470085
0.13333333333333333,0.03955555555555555,3,5,0.3854748603351955,0.42071197411003236,0.03523711377483685,0.5185185185185185,0.3873239436619718,-0.13119457485654668,0.5653495440729484,0.3971631205673759,-0.16818642350557245
0.13333333333333333,0.03955555555555555,4,5,0.5817307692307693,0.4342105263157895,-0.14752024291497978,0.6453488372093024,0.5548387096774193,-0.09051012753188303,0.6402266288951841,0.654434250764526,0.01420762186934188
0.2,0.04933333333333333,0,5,0.4057971014492754,0.4506329113924051,0.04483580994312969,0.4028103044496487,0.5454545454545454,0.1426442410048967,0.46437994722955145,0.546916890080429,0.08253694285087754
0.2,0.04933333333333333,1,5,0.4727272727272727,0.5532879818594104,0.0805607091321377,0.5202863961813843,0.5915492957746479,0.0712628995932636,0.5536159600997507,0.5440414507772021,-0.009574509322548552
0.2,0.04933333333333333,2,5,0.5280665280665281,0.5213675213675214,-0.006699006699006693,0.5882352941176471,0.6120481927710844,0.023812898653437276,0.5876288659793815,0.6545454545454545,0.06691658856607308
0.2,0.04933333333333333,3,5,0.16631130063965885,0.35071090047393366,0.1843995998342748,0.40749414519906324,0.5106382978723404,0.10314415267327715,0.5170068027210885,0.5442764578833693,0.02726965516228086
0.2,0.04933333333333333,4,5,0.6493506493506493,0.48125,-0.16810064935064933,0.6221198156682027,0.7043701799485861,0.08225036428038335,0.6952380952380952,0.6805194805194805,-0.014718614718614687
0.26666666666666666,0.05911111111111111,0,5,0.3364140480591497,0.5339168490153173,0.19750280095616762,0.6392857142857142,0.6197183098591549,-0.019567404426559354,0.608,0.6614785992217899,0.05347859922178988
0.26666666666666666,0.05911111111111111,1,5,0.46254927726675427,0.44243792325056436,-0.02011135401618991,0.5677655677655677,0.5732758620689655,0.005510294303397778,0.5895117540687161,0.5859872611464968,-0.0035244929222193466
0.26666666666666666,0.05911111111111111,2,5,0.5973025048169557,0.624390243902439,0.027087739085483342,0.6010544815465729,0.7309236947791165,0.12986921323254352,0.6561264822134387,0.7378640776699029,0.0817375954564642
0.26666666666666666,0.05911111111111111,3,5,0.6,0.5947712418300654,-0.005228758169934622,0.6540084388185654,0.5924453280318092,-0.06156311078675625,0.6680497925311203,0.6206896551724138,-0.04736013735870648
0.26666666666666666,0.05911111111111111,4,5,0.6437246963562753,0.7019400352733686,0.058215338917093296,0.6829268292682927,0.7642585551330798,0.0813317258647871,0.6827458256029685,0.7650485436893204,0.08230271808635192
0.3333333333333333,0.06888888888888889,0,5,0.5515151515151515,0.6418152350081038,0.09030008349295227,0.5462304409672831,0.5993031358885017,0.05307269492121858,0.573170731707317,0.6267605633802817,0.053589831672964716
0.3333333333333333,0.06888888888888889,1,5,0.4598639455782313,0.3389830508474576,-0.12088089473077368,0.5648604269293924,0.5877712031558185,0.02291077622642612,0.584717607973422,0.6325757575757576,0.04785814960233559
0.3333333333333333,0.06888888888888889,2,5,0.6275862068965518,0.6892109500805152,0.06162474318396349,0.7056962025316456,0.7445482866043613,0.03885208407271579,0.7111853088480802,0.7846410684474123,0.07345575959933215
0.3333333333333333,0.06888888888888889,3,5,0.36276083467094705,0.5008077544426495,0.13804691977170241,0.45660377358490567,0.6153846153846154,0.15878084179970975,0.5575539568345323,0.622673434856176,0.06511947802164364
0.3333333333333333,0.06888888888888889,4,5,0.6138032305433186,0.602291325695581,-0.011511904847737675,0.6644736842105263,0.7413793103448276,0.0769056261343013,0.7298747763864043,0.7572156196943973,0.027340843307993024
0.4,0.07866666666666666,0,5,0.587378640776699,0.5566714490674318,-0.030707191709267168,0.6304909560723514,0.6074074074074074,-0.023083548664943998,0.6278145695364239,0.6266866566716641,-0.0011279128647597725
0.4,0.07866666666666666,1,5,0.4201388888888889,0.4971590909090909,0.07702020202020199,0.45104895104895104,0.5636942675159236,0.11264531646697251,0.4906303236797274,0.5822021116138764,0.09157178793414894
0.4,0.07866666666666666,2,5,0.7254901960784313,0.7082683307332294,-0.01722186534520198,0.723404255319149,0.7708029197080292,0.047398664388880185,0.7428571428571429,0.7774566473988439,0.03459950454170102
0.4,0.07866666666666666,3,5,0.5736636245110821,0.6788732394366197,0.1052096149255376,0.6037195994277539,0.6884353741496598,0.08471577472190595,0.6331811263318112,0.6858710562414266,0.05268992990961541
0.4,0.07866666666666666,4,5,0.4816753926701571,0.7657657657657657,0.28409037309560864,0.6028880866425993,0.783410138248848,0.18052205160624868,0.6790540540540541,0.765891472868217,0.08683741881416296
0.4666666666666667,0.08844444444444444,0,5,0.5311203319502075,0.5896103896103896,0.058490057660182115,0.599713055954089,0.6121372031662269,0.012424147212137915,0.650904033379694,0.6713881019830028,0.020484068603308758
0.4666666666666667,0.08844444444444444,1,5,0.5673758865248227,0.5522388059701493,-0.015137080554673443,0.5750350631136045,0.6388489208633094,0.06381385774970483,0.5798319327731093,0.6720647773279352,0.09223284455482594
0.4666666666666667,0.08844444444444444,2,5,0.6394849785407726,0.764629388816645,0.12514441027587242,0.639686684073107,0.8261437908496732,0.18645710677656613,0.6964520367936925,0.8389610389610389,0.1425090021673464
0.4666666666666667,0.08844444444444444,3,5,0.4938704028021016,0.6862996158770807,0.19242921307497907,0.6912181303116147,0.747051114023591,0.055832983711976314,0.6883468834688347,0.7158469945355191,0.027500111066684485
0.4666666666666667,0.08844444444444444,4,5,0.6791946308724832,0.6965428937259923,0.0173482628535091,0.6861702127659575,0.7704280155642024,0.08425780279824491,0.7279596977329975,0.7733333333333333,0.045373635600335804
0.5333333333333333,0.09822222222222222,0,5,0.5487674169346195,0.6090621707060063,0.06029475377138682,0.6028708133971292,0.656964656964657,0.05409384356752778,0.634207240948814,0.6930917327293318,0.0588844917805178
0.5333333333333333,0.09822222222222222,1,5,0.5170842824601367,0.4948717948717949,-0.022212487588341823,0.5762304921968787,0.6281208935611038,0.05189040136422507,0.6783625730994152,0.6691823899371069,-0.009180183162308286
